anchor_start,anchor_end,cause_start,cause_end,modifier,raw_line
A279,A279,A279,A279,,A279
A280,A289,A000,R002,,A000 - R002
A280,A289,R008,U079,,R008 - U079
A280,A289,U099,U109,,U099 - U109
A280,A289,U129,Y98,,U129 - Y98
A300,A300,A300,A300,,A300
A300,A300,A309,A309,,A309
A301,A301,A301,A301,,A301
A301,A301,A309,A309,,A309
A302,A302,A302,A302,,A302
A302,A302,A309,A309,,A309
A303,A303,A303,A303,,A303
A303,A303,A309,A309,,A309
A304,A304,A304,A304,,A304
A304,A304,A309,A309,,A309
A305,A305,A305,A305,,A305
A305,A305,A309,A309,,A309
A308,A308,A308,A309,,A308 - A309
A309,A309,A309,A309,,A309
A310,A329,A000,R002,,A000 - R002
A310,A329,R008,U079,,R008 - U079
A310,A329,U099,U109,,U099 - U109
A310,A329,U129,Y98,,U129 - Y98
A33,A33,A33,A33,,A33
A34,A34,A34,A34,,A34
A35,A35,A35,A35,,A35
A360,A369,A360,A369,,A360 - A369
A370,A370,A370,A370,,A370
A370,A370,A379,A379,,A379
A371,A371,A371,A371,,A371
A371,A371,A379,A379,,A379
A378,A378,A378,A379,,A378 - A379
A379,A379,A379,A379,,A379
A38,A38,A38,A38,,A38
A390,A399,A390,A399,,A390 - A399
A400,A699,A000,R002,,A000 - R002
A400,A699,R008,U079,,R008 - U079
A400,A699,U099,U109,,U099 - U109
A400,A699,U129,Y98,,U129 - Y98
A70,A70,A70,A70,,A70
A710,A719,A710,A719,,A710 - A719
A740,A749,A000,R002,,A000 - R002
A740,A749,R008,U079,,R008 - U079
A740,A749,U099,U109,,U099 - U109
A740,A749,U129,Y98,,U129 - Y98
A750,A750,A750,A750,,A750
A750,A750,A759,A759,,A759
A751,A751,A751,A751,,A751
A751,A751,A759,A759,,A759
A752,A752,A752,A752,,A752
A753,A753,A753,A759,,A753 - A759
A759,A759,A750,A759,,A750 - A759
A770,A770,A770,A770,,A770
A770,A770,A779,A779,,A779
A771,A771,A771,A771,,A771
A771,A771,A779,A779,,A779
A772,A772,A772,A772,,A772
A772,A772,A779,A779,,A779
A773,A773,A773,A773,,A773
A773,A773,A779,A779,,A779
A778,A778,A778,A779,,A778 - A779
A779,A779,A770,A779,,A770 - A779
A78,A78,A78,A78,,A78
A790,A790,A790,A790,,A790
A791,A791,A791,A791,,A791
A798,A798,A798,A798,,A798
A799,A799,A799,A799,,A799
A800,A800,A800,A800,,A800
A801,A801,A801,A801,,A801
A802,A802,A802,A802,,A802
A803,A803,A803,A803,,A803
A804,A804,A804,A804,,A804
A809,A809,A809,A809,,A809
A810,A810,A810,A810,,A810
A810,A810,A819,A819,,A819
A811,A811,A811,A811,,A811
A811,A811,A819,A819,,A819
A812,A819,A000,R002,,A000 - R002
A812,A819,R008,U079,,R008 - U079
A812,A819,U099,U109,,U099 - U109
A812,A819,U129,Y98,,U129 - Y98
A820,A820,A820,A820,,A820
A821,A821,A821,A821,,A821
A829,A829,A829,A829,,A829
A830,A830,A830,A830,,A830
A831,A831,A831,A831,,A831
A832,A832,A832,A832,,A832
A833,A833,A833,A833,,A833
A834,A834,A834,A834,,A834
A835,A835,A835,A835,,A835
A836,A836,A836,A836,,A836
A838,A838,A838,A838,,A838
A839,A839,A839,A839,,A839
A840,A840,A840,A840,,A840
A840,A840,A849,A849,,A849
A841,A841,A841,A841,,A841
A841,A841,A849,A849,,A849
A848,A848,A848,A849,,A848 - A849
A849,A849,A849,A849,,A849
A850,A850,A850,A850,,A850
A851,A851,A851,A851,,A851
A852,A852,A852,A852,,A852
A858,A858,A858,A858,,A858
A86,A86,A86,A86,,A86
A86,A86,U071,U071,M,U071         M
A870,A89,A000,A969,,A000 - A969
A870,A89,A980,R002,,A980 - R002
A870,A89,R008,U049,,R008 - U049
A870,A89,U071,U079,,U071 - U079
A870,A89,U099,U109,,U099 - U109
A870,A89,U129,Y98,,U129 - Y98
A920,A920,A920,A920,,A920
A920,A920,A925,A925,,A925
A920,A920,A929,A929,,A929
A921,A921,A921,A921,,A921
A921,A921,A929,A929,,A929
A922,A922,A922,A922,,A922
A922,A922,A929,A929,,A929
A923,A923,A923,A923,,A923
A923,A923,A929,A929,,A929
A924,A924,A924,A924,,A924
A924,A924,A929,A929,,A929
A925,A925,A925,A925,,A925
A928,A928,A928,A929,,A928 - A929
A929,A929,A920,A929,,A920 - A929
A930,A94,A000,R002,,A000 - R002
A930,A94,R008,U079,,R008 - U079
A930,A94,U099,U109,,U099 - U109
A930,A94,U129,Y98,,U129 - Y98
A950,A950,A950,A950,,A950
A950,A950,A959,A959,,A959
A951,A951,A951,A959,,A951 - A959
A959,A959,A959,A959,,A959
A960,A960,A960,A960,,A960
A961,A961,A961,A961,,A961
A962,A962,A962,A962,,A962
A968,A969,A000,R002,,A000 - R002
A968,A969,R008,U079,,R008 - U079
A968,A969,U099,U109,,U099 - U109
A968,A969,U129,Y98,,U129 - Y98
A970,A970,A970,A970,,A970
A970,A970,A979,A979,,A979
A971,A971,A970,A971,,A970 - A971
A971,A971,A979,A979,,A979
A972,A979,A970,A979,,A970 - A979
A980,A980,A980,A980,,A980
A981,A981,A981,A981,,A981
A982,A982,A982,A982,,A982
A983,A983,A983,A983,,A983
A984,A984,A984,A984,,A984
A985,A985,A985,A985,,A985
A988,A988,A988,A988,,A988
A99,B029,A000,R002,,A000 - R002
A99,B029,R008,U079,,R008 - U079
A99,B029,U099,U109,,U099 - U109
A99,B029,U129,Y98,,U129 - Y98
B03,B03,B03,B03,,B03
B04,B04,B04,B04,,B04
B050,B059,B050,B059,,B050 - B059
B060,B069,B060,B069,,B060 - B069
B07,B159,A000,R002,,A000 - R002
B07,B159,R008,U079,,R008 - U079
B07,B159,U099,U109,,U099 - U109
B07,B159,U129,Y98,,U129 - Y98
B160,B160,B160,B160,,B160
B160,B160,B199,B199,,B199
B161,B161,B161,B161,,B161
B161,B161,B199,B199,,B199
B162,B162,B162,B162,,B162
B162,B162,B199,B199,,B199
B169,B169,B169,B169,,B169
B169,B169,B199,B199,,B199
B170,B170,B170,B170,,B170
B170,B170,B199,B199,,B199
B171,B171,B171,B171,,B171
B171,B171,B199,B199,,B199
B172,B178,A000,R002,,A000 - R002
B172,B178,R008,U079,,R008 - U079
B172,B178,U099,U109,,U099 - U109
B172,B178,U129,Y98,,U129 - Y98
B179,B179,B179,B179,,B179
B179,B179,C000,C969,,C000 - C969
B180,B180,B180,B180,,B180
B180,B180,B199,B199,,B199
B181,B181,B181,B181,,B181
B181,B181,B199,B199,,B199
B182,B182,B182,B182,,B182
B182,B182,B199,B199,,B199
B188,B199,A000,R002,,A000 - R002
B188,B199,R008,U079,,R008 - U079
